topic,entry_count,link
29 kasım 2021 yapı kredi rezaleti,17,https://eksisozluk.com/29-kasim-2021-yapi-kredi-rezaleti--7096006?a=popular
mansur yavaş'ın giydiği 199 tl'lik mont,72,https://eksisozluk.com/mansur-yavasin-giydigi-199-tllik-mont--7095551?a=popular
29 kasım 2021 istanbul rüzgarı,32,https://eksisozluk.com/29-kasim-2021-istanbul-ruzgari--7095856?a=popular
esenyurt'taki lastik hırsızlığı,23,https://eksisozluk.com/esenyurttaki-lastik-hirsizligi--7095946?a=popular
28 kasım 2021 deutsche welle paylaşımı,46,https://eksisozluk.com/28-kasim-2021-deutsche-welle-paylasimi--7095239?a=popular
altcoin tavsiyeleri,47,https://eksisozluk.com/altcoin-tavsiyeleri--5529468?a=popular
şimdiye kadar araba alamamışların durumu,21,https://eksisozluk.com/simdiye-kadar-araba-alamamislarin-durumu--7095907?a=popular
her seferinde ağlatan filmler,43,https://eksisozluk.com/her-seferinde-aglatan-filmler--7095572?a=popular
yemeksepeti.com,30,https://eksisozluk.com/yemeksepeti-com--199510?a=popular
rte'nin babam futbol hayatımı engelledi açıklaması,75,https://eksisozluk.com/rtenin-babam-futbol-hayatimi-engelledi-aciklamasi--7095612?a=popular
recep tayyip erdoğan,24,https://eksisozluk.com/recep-tayyip-erdogan--95281?a=popular
istanbul'un en huzurlu yeri,80,https://eksisozluk.com/istanbulun-en-huzurlu-yeri--4891689?a=popular
ceek,14,https://eksisozluk.com/ceek--5562394?a=popular
ibb'nin 11.415 ihalenin 24'ünü canlı yayınlaması,26,https://eksisozluk.com/ibbnin-11-415-ihalenin-24unu-canli-yayinlamasi--7095969?a=popular
bir insanı yaptığı ilk hatada hayatından çıkarmak,41,https://eksisozluk.com/bir-insani-yaptigi-ilk-hatada-hayatindan-cikarmak--2274035?a=popular
en iyi distopya kurgusu,13,https://eksisozluk.com/en-iyi-distopya-kurgusu--4604548?a=popular
masterchef türkiye,48,https://eksisozluk.com/masterchef-turkiye--2620416?a=popular
bir kadının vücudundan daha güzel olan şey,28,https://eksisozluk.com/bir-kadinin-vucudundan-daha-guzel-olan-sey--7095872?a=popular
27 kasım 2021 giresunspor'un yaptığı ayıp,16,https://eksisozluk.com/27-kasim-2021-giresunsporun-yaptigi-ayip--7094756?a=popular
memuriyetten istifa etmek,28,https://eksisozluk.com/memuriyetten-istifa-etmek--2426930?a=popular
uzun süreli ilişkinin sırrı,12,https://eksisozluk.com/uzun-sureli-iliskinin-sirri--2390880?a=popular
radio caca,14,https://eksisozluk.com/radio-caca--7021722?a=popular
assassin's creed'in hakettiği değeri görmemesi,62,https://eksisozluk.com/assassins-creedin-hakettigi-degeri-gormemesi--7094963?a=popular
tıpta uzmanlık sınavına okul puanı eklenmesi,21,https://eksisozluk.com/tipta-uzmanlik-sinavina-okul-puani-eklenmesi--7095918?a=popular
28 kasım 2021 fatih altaylı'nın attığı tweet,58,https://eksisozluk.com/28-kasim-2021-fatih-altaylinin-attigi-tweet--7095456?a=popular
kemal kılıçdaroğlu'na bir mesaj bırak,15,https://eksisozluk.com/kemal-kilicdarogluna-bir-mesaj-birak--5704097?a=popular
türkiye'de normalmiş gibi görülen anormal şeyler,41,https://eksisozluk.com/turkiyede-normalmis-gibi-gorulen-anormal-seyler--6325526?a=popular
amazon.com.tr,10,https://eksisozluk.com/amazon-com-tr--1434702?a=popular
akp seçmenleri yüzünden sinir krizi geçiren kız,14,https://eksisozluk.com/akp-secmenleri-yuzunden-sinir-krizi-geciren-kiz--7095153?a=popular
stephen curry,40,https://eksisozluk.com/stephen-curry--1712801?a=popular
